set,path,label,x_min,y_min,empty0,empty1,x_max,y_max,empty2,empty3
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.30778032036613273,0.60625,,,0.45652173913043476,0.7541666666666667,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.5926773455377574,0.375,,,0.6590389016018307,0.47291666666666665,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.6350114416475973,0.66875,,,0.6670480549199085,0.7270833333333333,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.4679633867276888,0.54375,,,0.5011441647597255,0.6020833333333333,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.34782608695652173,0.7666666666666667,,,0.38329519450800914,0.8375,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.36384439359267734,0.95625,,,0.39816933638443935,1.0,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.4061784897025172,0.3625,,,0.42219679633867274,0.40625,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.06636155606407322,0.73125,,,0.15675057208237986,0.9791666666666666,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.2322654462242563,0.63125,,,0.2540045766590389,0.66875,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.8867276887871853,0.54375,,,0.9118993135011442,0.6270833333333333,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.7322654462242563,0.36666666666666664,,,0.7528604118993135,0.4166666666666667,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.7837528604118993,0.6375,,,0.8260869565217391,0.74375,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.13386727688787187,0.5458333333333333,,,0.2208237986270023,0.59375,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.15903890160183065,0.49375,,,0.2288329519450801,0.55625,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.7574370709382151,0.7708333333333334,,,0.7963386727688787,0.9270833333333334,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.9061784897025171,0.7125,,,0.9954233409610984,0.93125,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.7711670480549199,0.53125,,,0.7917620137299771,0.5895833333333333,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.7974828375286042,0.74375,,,0.8260869565217391,0.81875,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.2448512585812357,0.50625,,,0.2643020594965675,0.54375,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.006864988558352402,0.575,,,0.05034324942791762,0.7083333333333334,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.88558352402746,0.8625,,,0.919908466819222,1.0,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.9576659038901602,0.3375,,,1.0,0.39375,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.9439359267734554,0.5,,,1.0,0.575,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.7368421052631579,0.33125,,,0.7597254004576659,0.38125,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.5720823798627003,0.9520833333333333,,,0.6784897025171625,1.0,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.0011441647597254005,0.9083333333333333,,,0.041189931350114416,1.0,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.2139588100686499,0.29583333333333334,,,0.2414187643020595,0.32916666666666666,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.14416475972540047,0.26666666666666666,,,0.17048054919908467,0.28958333333333336,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.34324942791762014,0.275,,,0.37757437070938216,0.3,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.2231121281464531,0.25416666666666665,,,0.2448512585812357,0.2708333333333333,,
TRAIN,gs://climbing_holds/0001.jpg,climbing_hold,0.45652173913043476,0.28541666666666665,,,0.4965675057208238,0.30416666666666664,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.35625,0.12060889929742388,,,0.475,0.18266978922716628,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.63125,0.19789227166276346,,,0.7,0.22014051522248243,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.6375,0.23185011709601874,,,0.71875,0.25995316159250587,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.6541666666666667,0.25526932084309134,,,0.7354166666666667,0.2822014051522248,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.29375,0.3911007025761124,,,0.35,0.4215456674473068,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.30625,0.4964871194379391,,,0.36875,0.5269320843091335,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.7645833333333333,0.14402810304449648,,,0.8979166666666667,0.2611241217798595,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.9,0.1885245901639344,,,0.99375,0.23536299765807964,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.5625,0.03629976580796253,,,0.6395833333333333,0.06791569086651054,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.29375,0.3594847775175644,,,0.325,0.38875878220140514,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.15,0.4309133489461358,,,0.2125,0.4672131147540984,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.175,0.15105386416861827,,,0.23125,0.17798594847775176,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.49375,0.0468384074941452,,,0.5375,0.06908665105386416,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.50625,0.04332552693208431,,,0.65,0.11124121779859485,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.8666666666666667,0.01990632318501171,,,0.9354166666666667,0.06206088992974239,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.13125,0.02224824355971897,,,0.2,0.06674473067915691,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.1875,0.05152224824355972,,,0.25,0.0936768149882904,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.5541666666666667,0.3325526932084309,,,0.6166666666666667,0.36416861826697894,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.4666666666666667,0.3185011709601874,,,0.5541666666666667,0.36065573770491804,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.41875,0.3185011709601874,,,0.45625,0.34192037470725994,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.2520833333333333,0.585480093676815,,,0.2833333333333333,0.6100702576112412,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.64375,0.4426229508196721,,,0.6708333333333333,0.4613583138173302,,
VALIDATION,gs://climbing_holds/0002.jpg,climbing_hold,0.6041666666666666,0.3770491803278688,,,0.6354166666666666,0.39695550351288056,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.47708333333333336,0.5679156908665105,,,0.5416666666666666,0.5971896955503513,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.825,0.5,,,0.9125,0.5433255269320844,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.6291666666666667,0.11475409836065574,,,0.6854166666666667,0.1451990632318501,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.4166666666666667,0.202576112412178,,,0.5791666666666667,0.35714285714285715,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.8020833333333334,0.13700234192037472,,,0.9958333333333333,0.31733021077283374,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.54375,0.06323185011709602,,,0.88125,0.37236533957845436,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.25833333333333336,0.5737704918032787,,,0.35625,0.6451990632318502,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.3541666666666667,0.6709601873536299,,,0.4166666666666667,0.6943793911007026,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.2125,0.7400468384074942,,,0.34375,0.7857142857142857,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.3125,0.7271662763466042,,,0.3625,0.7423887587822015,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.18541666666666667,0.7049180327868853,,,0.22291666666666668,0.7353629976580797,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.39791666666666664,0.08079625292740047,,,0.47291666666666665,0.13348946135831383,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.54375,0.4168618266978923,,,0.575,0.4332552693208431,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.49375,0.47892271662763464,,,0.525,0.4929742388758782,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.43125,0.477751756440281,,,0.4625,0.4918032786885246,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.53125,0.47892271662763464,,,0.55625,0.4929742388758782,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.44375,0.36416861826697894,,,0.49375,0.3864168618266979,,
TRAIN,gs://climbing_holds/0003.jpg,climbing_hold,0.44375,0.18618266978922718,,,0.5,0.20843091334894615,,
